English,French,Hindi
flower,fleur,फूल
confidence,confiance,आत्मविश्वास
archaeology,archéologie,पुरातत्त्व
independence,indépendance,स्वतंत्रता
banana,banane,केला
scenery,paysage,प्राकृतिक दृश्य
courage,courage,साहस
contentment,contentement,संतोष
sunbeam,rayon de soleil,सुरज की किरण
starfish,étoile de mer,एक प्रकार की मछली जिस को पाँच - सात बाहु के सदृश अंग होते है
hummingbird,colibri,चिड़ियों
resolution,résolution,संकल्प
construction,construction,निर्माण
inspiration,inspiration,प्रेरणा
leadership,direction,नेतृत्व
enthusiasm,enthousiasme,उत्साह
valor,valeur,वीरता
laughter,rire,हँसी
equality,égalité,समानता
jellyfish,méduse,जेलीफ़िश
energy,énergie,ऊर्जा
calmness,calme,शांति
happiness,bonheur,ख़ुशी
eternity,éternité,अनंतकाल
art,art,कला
violet,violet,बैंगनी
science,science,विज्ञान
equation,équation,समीकरण
justice,justice,न्याय
alligator,alligator,ALLIGATOR
dandelion,pissenlit,dandelion
humility,humilité,विनम्रता
pollination,pollinisation,परागन
balance,équilibre,संतुलन
commitment,engagement,प्रतिबद्धता
legacy,héritage,परंपरा
solar,solaire,सौर
kite,cerf-volant,पतंग
zenith,zénith,शीर्षबिंदु
cellphone,téléphone portable,सेलफोन
virtue,vertu,गुण
ocean,océan,महासागर
flamingo,flamant,मराल
telescope,télescope,दूरबीन
diversity,diversité,विविधता
dream,rêve,सपना
passion,passion,जुनून
sanctuary,sanctuaire,अभ्यारण्य
joy,joie,आनंद
freedom,liberté,स्वतंत्रता
cactus,cactus,कैक्टस
serenity,sérénité,शांति
affection,affection,स्नेह
paradise,paradis,स्वर्ग
playfulness,espièglerie,शोख़ी
wave,vague,लहर
glacier,glacier,हिमनद
parrot,perroquet,तोता
clarity,clarté,स्पष्टता
nectar,nectar,अमृत
greenhouse,serre,ग्रीन हाउस
achievement,réalisation,उपलब्धि
voyage,voyage,जलयात्रा
jungle,jungle,JUNGLE
peacock,paon,मोर
perfection,perfection,पूर्णता
music,musique,संगीत
diligence,diligence,परिश्रम
vibration,vibration,कंपन
ambition,ambition,महत्वाकांक्षा
capacity,capacité,क्षमता
liberty,liberté,स्वतंत्रता
fulfillment,accomplissement,पूर्ति
macaw,ara,एक प्रकार का तोता
champion,champion,चैंपियन
cinema,cinéma,सिनेमा
growth,croissance,विकास
pigeon,pigeon,कबूतर
romance,romance,रोमांस
eagle,aigle,गरुड़
blossom,fleurir,खिलना
cathedral,cathédrale,कैथेड्रल
radiance,éclat,चमक
sophistication,sophistication,मिलावट
camera,caméra,कैमरा
fitness,aptitude,उपयुक्तता
horizon,horizon,क्षितिज
positivity,positivité,सकारात्मकता
integrity,intégrité,अखंडता
swan,cygne,स्वैन
glow,briller,चमकना
activity,activité,गतिविधि
upliftment,élévation,उत्थान
shadow,ombre,छाया
canyon,canyon,घाटी
harmony,harmonie,सद्भाव
hospitality,hospitalité,मेहमाननवाज़ी
caravan,caravane,कारवां
structure,structure,संरचना
heritage,patrimoine,विरासत
zephyr,zéphyr,हलकी हवा
grace,grâce,अनुग्रह
safari,safari,सफारी
history,histoire,इतिहास
sparkle,éclat,चमक
biscuit,biscuit,बिस्कुट
meditation,méditation,ध्यान
vegetation,végétation,वनस्पति
environment,environnement,पर्यावरण
quality,qualité,गुणवत्ता
mindfulness,pleine conscience,सचेतन
resourcefulness,ressource,उपाय कुशलता
coastline,littoral,समुद्र तट
celebration,célébration,उत्सव
analysis,analyse,विश्लेषण
collaboration,collaboration,सहयोग
climate,climat,जलवायु
galaxy,galaxie,GALAXY
health,santé,स्वास्थ्य
owl,hibou,उल्लू
democracy,démocratie,प्रजातंत्र
relief,relief,राहत
satisfaction,satisfaction,संतुष्टि
phoenix,phénix,अचंभा
pyramid,pyramide,पिरामिड
festival,festival,त्योहार
delight,plaisir,आनंद
penguin,manchot,पेंगुइन
mountain,montagne,पर्वत
wildflower,fleur sauvage,जंगली फूल
meadow,prairie,घास का मैदान
village,village,गाँव
narrative,narratif,आख्यान
quasar,quasar,कैसर
sturdiness,solidité,मजबूती
cloud,nuage,बादल
empowerment,autonomisation,अधिकारिता
challenge,défi,चुनौती
treasure,trésor,खज़ाना
journey,voyage,यात्रा
rhythm,rythme,लय
abundance,abondance,प्रचुरता
charity,charité,दान
politeness,politesse,शील
enlightenment,éclaircissement,प्रबोधन
planet,planète,ग्रह
curiosity,curiosité,जिज्ञासा
angel,ange,देवदूत
nightingale,rossignol,बुलबुल
patience,patience,धैर्य
poetry,poésie,कविता
mystery,mystère,रहस्य
airplane,avion,हवाई जहाज
color,couleur,रंग
brightness,luminosité,चमक
biology,biologie,जीवविज्ञान
fascination,fascination,सम्मोहन
wisdom,sagesse,बुद्धि
mathematics,mathématiques,अंक शास्त्र
love,amour,प्यार
vision,vision,दृष्टि
garden,jardin,बगीचा
friendship,amitié,दोस्ती
butterfly,papillon,तितली
candle,bougie,मोमबत्ती
reliability,fiabilité,विश्वसनीयता
holiday,vacances,छुट्टी
excellence,excellence,उत्कृष्टता
artist,artiste,कलाकार
marriage,mariage,शादी
chocolate,chocolat,चॉकलेट
expression,expression,अभिव्यक्ति
meteor,météore,उल्का
autonomy,autonomie,स्वायत्तता
refuge,refuge,शरण
savanna,savane,लंबा-चौड़ा चरागाह
leopard,léopard,तेंदुआ
warmth,chaleur,गर्मी
elephant,éléphant,हाथी
basketball,basket-ball,बास्केटबाल
perspective,perspective,परिप्रेक्ष्य
kangaroo,kangourou,कंगेरू
crystal,cristal,क्रिस्टल
tiger,tigre,चीता
imagination,imagination,कल्पना
photography,photographie,फोटोग्राफी
harbor,port,बंदरगाह
whisper,chuchoter,फुसफुसाना
raven,corbeau,काला कौआ
physics,physique,भौतिक विज्ञान
acceptance,acceptation,स्वीकार
flavor,saveur,स्वाद
constellation,constellation,तारामंडल
rose,rose,गुलाब
sapphire,saphir,नीलम
chess,échecs,शतरंज
barbecue,barbecue,बारबेक्यू
humanity,humanité,इंसानियत
memory,mémoire,याद
optimism,optimisme,आशावाद
intelligence,intelligence,बुद्धिमत्ता
reflection,réflexion,प्रतिबिंब
victory,victoire,विजय
universe,univers,ब्रह्मांड
starlight,lumière des étoiles,तारों का
neighborhood,quartier,अड़ोस-पड़ोस
paintbrush,pinceau,पेंटब्रश
amazement,stupéfaction,विस्मय
efficiency,efficacité,क्षमता
excitement,excitation,उत्तेजना
loyalty,loyauté,निष्ठा
wonder,merveille,आश्चर्य
focus,se concentrer,केंद्र
communication,communication,संचार
rainbow,arc-en-ciel,इंद्रधनुष
competence,compétence,क्षमता
generosity,générosité,उदारता
tranquility,tranquillité,शांति
innovation,innovation,नवाचार
moonlight,clair de lune,चाँदनी
conservation,conservation,संरक्षण
engagement,fiançailles,सगाई
intuition,intuition,अंतर्ज्ञान
spirituality,spiritualité,आध्यात्मिकता
conversation,conversation,बातचीत
zebra,zèbre,ज़ेबरा
cheesecake,gâteau au fromage,चीज़केक
apple,pomme,सेब
book,livre,किताब
bravery,bravoure,वीरता
waterfall,cascade,झरना
forgiveness,pardon,क्षमा
wildlife,faune,वन्य जीवन
oasis,oasis,ओएसिस
accomplishment,accomplissement,उपलब्धि
solitude,solitude,अकेलापन
landscape,paysage,परिदृश्य
tulip,tulipe,ट्यूलिप
sunflower,tournesol,सूरजमुखी
miracle,miracle,चमत्कार
family,famille,परिवार
century,siècle,शतक
elegance,élégance,लालित्य
captain,capitaine,कप्तान
fellowship,camaraderie,फैलोशिप
peace,paix,शांति
seagull,mouette,SEAGULL
masterpiece,chef-d'œuvre,कृति
fireplace,cheminée,चिमनी
feather,plume,पंख
belief,croyance,आस्था
aspiration,aspiration,आकांक्षा
animal,animal,जानवर
mermaid,sirène,मत्स्यकन्या
childhood,enfance,बचपन
benevolence,bienveillance,भलाई
literature,littérature,साहित्य
octopus,pieuvre,ऑक्टोपस
simplicity,simplicité,सादगी
discovery,découverte,खोज
creativity,créativité,रचनात्मकता
balloon,ballon,गुब्बारा
emotion,émotion,भावना
adventure,aventure,साहसिक काम
resilience,résilience,लचीलापन
education,éducation,शिक्षा
capital,capital,पूंजी
kindness,gentillesse,दयालुता
exploration,exploration,अन्वेषण
magnolia,magnolia,मैगनोलिया
bird,oiseau,चिड़िया
philosophy,philosophie,दर्शन
nostalgia,nostalgie,उदासी
truth,vérité,सच
dance,danse,नृत्य
strength,force,ताकत
symmetry,symétrie,समरूपता
compassion,compassion,करुणा
potential,potentiel,संभावना
snowflake,flocon de neige,हिमपात का एक खंड
astronomy,astronomie,खगोल
geography,géographie,भूगोल
orchard,verger,ऑर्चर्ड
whale,baleine,व्हेल
trust,confiance,विश्वास
shelter,abri,आश्रय
bliss,bonheur,परम आनंद
golden,doré,स्वर्ण
iceberg,iceberg,हिमखंड
stability,stabilité,स्थिरता
faith,foi,आस्था
giraffe,girafe,जिराफ़
gratitude,gratitude,कृतज्ञता
reverence,révérence,श्रद्धा
patriotism,patriotisme,देश प्रेम
lighthouse,phare,प्रकाशस्तंभ
dedication,dévouement,समर्पण
metamorphosis,métamorphose,कायापलट
pioneer,pionnier,प्रथम अन्वेषक
volcano,volcan,ज्वालामुखी
knowledge,connaissance,ज्ञान
rainforest,forêt tropicale,वर्षा वन
amusement,amusement,मनोरंजन
anticipation,anticipation,प्रत्याशा
atmosphere,atmosphère,वायुमंडल
invention,invention,आविष्कार
behavior,comportement,व्यवहार
beauty,beauté,सुंदरता
accuracy,précision,शुद्धता
appreciation,appréciation,प्रशंसा
agility,agilité,चपलता
fantasy,fantaisie,कल्पना
tradition,tradition,परंपरा
