sentiment,guj_text,eng_text
business,"મોદી સરકાર 1 ફેબ્રુઆરીએ વચગાળાનું બજેટ રજૂ કરશે, આ જાહેરાતો થઈ શકે","Modi government will present interim budget on February 1, these announcements may be made"
business,LIC પોલિસી ધારકો માટે મોટી ખબર! પ્રીમિયમ જમા કરવાનો નિયમ બદલાયો,Big news for LIC policy holders! Premium deposit rules changed
entertainment,"VIRAL VIDEO: મસ્તમૌલા અંદાજમાં રણવીર સિંહ, ચાર્લી ચૈપલિનને આ રીતે આપ્યું ટ્રીબ્યુટ",VIRAL VIDEO: Ranveer Singh pays tribute to Charlie Chaplin in Mastamaula style
entertainment,શાહરૂખની સાથે ફિલ્મમાં કામ કરી ચુક્યો છે અનુષ્કાથી ઠપકો ખાધેલો વ્યક્તિ,The person scolded by Anushka has worked in the film with Shahrukh
entertainment,એકદમ બટરફ્લાઇ અવતારમાં જોવા મળી આ એક્ટ્રેસ,This actress was seen in a very butterfly avatar.
tech,"આજે અહીથી ખરીદો OnePlus 6, મળશે 25,000 રૂપિયા સુધીનો ફાયદો","Buy OnePlus 6 from here today, get benefits up to Rs 25,000"
entertainment,સલમાન સાથે પંગા બાદ નથી મળતો 'સોરી' અને 'થેન્ક્યૂ'નો ચાન્સ,"After Panga with Salman, there is no chance of 'Sorry' and 'Thank You'"
business,ફ્લાઈટમાં મોડુ થતાં હવે તમને મળશે રૂ. 20 હજાર! સરકારનો છે પ્રસ્તાવ,For flight delay now you will get Rs. 20 thousand! It is the government's proposal
tech,"Ford Aspire CNG ભારતમાં લોન્ચ, જાણી લો કિંમત","Ford Aspire CNG launched in India, know the price"
business,ચિનના શાંધાઈમાં આઈસીઆઈસીઆઈ બેંક ખોલશે તેની નવી બ્રાંચ,"ICICI Bank to open new branch in Shanghai, China"
entertainment,"દીપિકાએ વોગ મેગેઝીન માટે કરાવ્યું ફોટોશૂટ, જુઓ હોટ Pics","Deepika did a photoshoot for Vogue magazine, see hot pics"
entertainment,પ્રિયંકા ચોપડાના પતિ નિક જોનસને ડેટ કરવા માગે છે ભૂમિ પેડનેકર,Bhumi Pednekar wants to date Priyanka Chopra's husband Nick Jonas
business,"એક દિવસની રાહત બાદ ફરી પેટ્રોલના ભાવમાં ભડકો, રૂ. 89.60 પ્રતિ લિટર","After a day of relief, petrol prices surge again, Rs. 89.60 per liter"
